,lat,lon,name,projected_lon,projected_lat,centroid_distance,travel_time
188,51.50724437,-0.106237501,"Milroy Walk, South Bank",28133.5271453,25850.5894835,1309.1772154,5.33333333333
189,51.50368837,-0.098497684,"Union Street, The Borough",28681.1116574,25468.9385841,1665.70778294,9.35
190,51.50556905,-0.111606696,"Stamford Street, South Bank",27765.6015138,25654.5871558,896.188969952,4.36666666667
191,51.51048489,-0.082989638,"Great Tower Street, Monument",29737.9705082,26253.1004966,2916.99607273,13.2166666667
192,51.51492456,-0.066078037,"LMU Commercial Road, Whitechapel",30898.848861,26777.8771234,4190.77414392,18.8166666667
193,51.5225965,-0.161113413,"Dorset Square, Marylebone",24281.0527219,27461.2823885,3637.04949202,17.85
194,51.51236389,-0.06954201,"Leman Street, Aldgate",30665.9336101,26486.6690296,3865.08034352,18.4666666667
195,51.51821864,-0.100791005,"West Smithfield Rotunda, Farringdon",28479.9409373,27081.2139608,2433.43132988,13.95
196,51.52659961,-0.112432615,"Margery Street, Clerkenwell",27647.9089176,27992.6434548,2944.24505912,15.4666666667
197,51.518144,-0.06275,"New Road  2, Whitechapel",31120.3617072,27142.1307663,4545.69153602,19.85
198,51.518154,-0.062697,"New Road 1 , Whitechapel",31124.0106643,27143.3406029,4549.49628607,19.85
199,51.50135267,-0.153194766,"Grosvenor Crescent, Belgravia",24890.2374914,25111.8527259,2164.57694187,8.25
200,51.52505151,-0.166304359,"Mallory Street, Marylebone",23913.965607,27725.349568,4087.96856149,21.3833333333
201,51.49358391,-0.165101392,"Denyer Street, Knightsbridge",24085.2224498,24226.8230724,3097.78412642,13.4666666667
202,51.51681444,-0.151926305,"Hinde Street, Marylebone",24934.8675203,26834.1207182,2733.32287899,13.2833333333
203,51.49464523,-0.158105512,"Cadogan Place, Knightsbridge",24568.0609907,24357.0916444,2597.87004404,10.4833333333
204,51.50658458,-0.199004026,"Campden Hill Road, Notting Hill",21695.351062,25614.6144358,5383.28135018,19.0
205,51.50274025,-0.149569201,"Wellington Arch, Hyde Park",25138.0587781,25272.572348,1923.74115099,8.38333333333
206,51.52683806,-0.130504336,"Endsleigh Gardens, Euston",26393.2038239,27986.9692526,2953.27709402,14.6333333333
207,51.51906932,-0.088285377,"Moorfields, Moorgate",29345.4113375,27198.4511455,3100.59288468,17.25
208,51.49094565,-0.181190899,"Old Brompton Road, South Kensington",22975.2221423,23905.4424942,4253.35338888,15.9833333333
209,51.51615461,-0.082422399,"Wormwood Street, Liverpool Street",29760.81652,26884.8550406,3236.81823401,17.4833333333
210,51.48971651,-0.170194408,"St. Luke's Church, Chelsea",23742.3069814,23787.7402726,3566.19820329,13.0666666667
211,51.49016361,-0.19039362,"Bramham Gardens, Earl's Court",22338.276383,23802.6038701,4894.05147483,19.7833333333
212,51.49066456,-0.166485083,"Chelsea Green, Chelsea",23997.2710751,23899.6522701,3287.93037166,13.2333333333
213,51.49481649,-0.13045856,"Horseferry Road, Westminster",26487.3923216,24424.8192545,888.669124,3.86666666667
214,51.50275704,-0.155349725,"Knightsbridge, Hyde Park",24736.6800047,25264.3083483,2323.34541906,9.71666666667
215,51.49148474,-0.090220911,"Rodney Road , Walworth",29291.162928,24126.3221876,2442.62928715,11.0833333333
216,51.51476963,-0.188129731,"Whiteley's, Bayswater",22427.729059,26543.7998369,4844.50756478,18.9166666667
217,51.50935342,-0.196422,"Notting Hill Gate Station, Notting Hill",21867.0110075,25927.0503416,5251.94148836,20.3666666667
218,51.50844614,-0.131961389,"Charles II Street, West End",26344.3335166,25938.3796941,1092.2718883,8.0
219,51.52891573,-0.115480888,"Great Percy Street, Clerkenwell",27429.7470725,28244.8465823,3158.42515221,18.4333333333
220,51.50742485,-0.134621209,"St. James's Square, St. James's",26162.5865246,25820.0563759,1141.05958899,5.81666666667
221,51.50654321,-0.123179697,"Whitehall Place, Strand",26959.3822694,25742.2878801,640.680394004,5.68333333333
222,51.50669284,-0.103137426,"Poured Lines, Bankside",28350.3277868,25794.8089402,1465.95744606,6.58333333333
223,51.49396755,-0.17873226,"Queen's Gate (Central), South Kensington",23137.601,24245.8596662,4011.12593606,14.6166666667
224,51.51501025,-0.112753217,"Carey Street, Holborn",27658.9179819,26702.81515,1704.69146873,9.38333333333
225,51.50777049,-0.130699733,"Pall Mall East, West End",26433.8369254,25865.45378,978.878976594,5.58333333333
226,51.53450449,-0.106992706,"Liverpool Road (N1 Centre), Angel",28002.6370499,28881.7733846,3890.24974958,19.0
227,51.49571828,-0.110889274,"Kennington Road  , Vauxhall",27843.6946474,24560.0307872,960.954342266,4.63333333333
228,51.51838043,-0.073438925,"Fashion Street, Whitechapel",30377.8142737,27148.8436996,3899.26998971,18.6333333333
229,51.5084448,-0.067176443,"Vaughan Way, Wapping",30841.650424,26055.029249,3903.27803743,18.5166666667
230,51.5233534,-0.175116099,"Frampton Street, Paddington",23307.191434,27521.1529292,4456.94149752,18.25
231,51.52443845,-0.138019439,"Warren Street Station, Euston",25878.5140179,27706.725095,2851.86403141,12.4166666667
232,51.50545935,-0.10569204,"Colombo Street, Southwark",28176.5339099,25652.9962625,1246.77929499,6.33333333333
233,51.52200801,-0.151359288,"Beaumont Street, Marylebone",24959.6245044,27412.8745185,3114.28650261,15.6333333333
234,51.49096258,-0.139625122,"Gloucester Street, Pimlico",25861.7620176,23979.8734803,1642.48020498,7.21666666667
235,51.51611887,-0.128585022,"Earnshaw Street , Covent Garden",26556.889001,26797.9192651,1761.02384859,11.2333333333
236,51.4853572,-0.142207481,"Grosvenor Road, Pimlico",25698.253816,23351.7507375,2219.75517936,8.78333333333
237,51.52285301,-0.099994052,"Berry Street, Clerkenwell",28521.8644421,27598.1980385,2889.56245202,12.6833333333
238,51.530052,-0.168314,"St. John's Wood Church, Regent's Park",23760.5798786,28278.1384279,4571.319385,21.1833333333
239,51.50645179,-0.170279555,"Triangle Car Park, Hyde Park",23689.8504095,25649.310033,3408.10331416,19.1666666667
240,51.49859784,-0.096191134,"Harper Road, Borough",28855.9786193,24906.8106832,1812.45185695,7.75
241,51.489932,-0.162727,"Royal Avenue 1, Chelsea",24260.3031746,23824.7030289,3075.39738359,10.9333333333
242,51.518908,-0.079249,"Brushfield Street, Liverpool Street",29973.0323592,27196.9307474,3588.38245947,21.7
243,51.5046364,-0.116542278,"Jubilee Gardens, South Bank",27425.6258968,25542.0045783,570.270445621,3.58333333333
244,51.53404294,-0.086379717,"Shoreditch Park, Hoxton",29434.0978562,28867.6395479,4448.61963502,19.5
245,51.53051587,-0.106408455,"Chadwell Street, Angel",28054.6580035,28439.1094541,3477.20512048,17.6666666667
246,51.52557531,-0.179592915,"Clifton Road, Maida Vale",22990.3630331,27760.5911119,4853.0386731,19.9666666667
247,51.51362054,-0.116764211,"Houghton Street, Strand",27384.4968523,26541.0443322,1469.74351743,7.31666666667
248,51.52248185,-0.154907218,"Westminster University, Marylebone",24712.0725257,27459.3715855,3318.70904863,15.3333333333
249,51.50143293,-0.178656971,"Kensington Gore, Knightsbridge",23122.1621052,25076.4773858,3932.78256573,13.3166666667
250,51.50494561,-0.123247648,"Embankment (Horse Guards), Westminster",26959.2228729,25564.4426057,465.605987268,5.18333333333
251,51.5136846,-0.135580879,"Broadwick Street, Soho",26078.2226066,26514.7232459,1711.86309797,10.7166666667
252,51.5134891,-0.191351186,"Princes Square, Bayswater",22207.6480566,26395.8145703,5015.12950075,19.7
253,51.49874469,-0.103132904,"LSBU (Borough Road), Elephant & Castle",28373.5597635,24910.6314243,1333.54709821,5.85
254,51.51422502,-0.080660083,"St. Mary Axe, Aldgate",29888.76477,26673.4067273,3237.19377614,17.5833333333
255,51.52644342,-0.109256828,"Tysoe Street, Clerkenwell",27868.7308976,27980.9588466,2985.30085531,14.9333333333
256,51.51595344,-0.169249375,"Southwick Street, Paddington",23734.9231161,26708.11253,3685.05218615,16.4166666667
257,51.50102668,-0.180246101,"Queen's Gate (North), Kensington",23012.9517827,25028.5393316,4042.65633488,15.5
258,51.49206037,-0.132224622,"Regency Street, Westminster",26372.5809268,24115.0850956,1205.3292071,5.98333333333
259,51.49320445,-0.144132875,"Belgrave Road, Victoria",25542.392704,24221.322465,1753.55309836,7.11666666667
260,51.50082346,-0.089740764,"Empire Square, The Borough",29297.3912558,25166.0679759,2243.31129795,10.25
261,51.4863434,-0.122492418,"Kennington Lane Rail Bridge, Vauxhall",27064.7399169,23496.3964668,1612.38863699,6.61666666667
262,51.53583617,-0.156285395,"London Zoo, Regents Park",24578.9886178,28942.5673746,4563.75101615,21.0
263,51.50144456,-0.110699309,"Baylis Road, Waterloo",27840.4409814,25197.3869854,790.612589882,5.43333333333
264,51.50613324,-0.114686385,"Belvedere Road, South Bank",27550.181436,25711.8374412,780.448364319,4.33333333333
265,51.49671237,-0.20528437,"Warwick Road, Olympia",21286.2836635,24505.6628936,5799.96906858,20.1666666667
266,51.52004497,-0.092176447,"Barbican Centre, Barbican",29072.5297831,27299.9377167,2978.66881212,16.5166666667
267,51.50930161,-0.084985356,"Lower Thames Street, Monument",29602.8809476,26117.8401494,2740.60358808,15.9166666667
268,51.50315739,-0.191496313,"Kensington Church Street, Kensington",22225.979209,25246.2088204,4830.78895095,15.95
269,51.5034938,-0.07962099,"Tooley Street, Bermondsey",29992.2176706,25481.5156241,2960.96295656,13.45
270,51.51862243,-0.176645823,"North Wharf Road, Paddington",23214.1489489,26992.2067341,4277.62626906,18.7
271,51.490083,-0.162418,"Royal Avenue 2, Chelsea",24281.3408405,23842.0396872,3049.0506703,12.0166666667
272,51.49580589,-0.127575233,"Smith Square, Westminster",26684.7950217,24540.0027219,678.521447834,3.36666666667
273,51.51906446,-0.059642081,"Royal London Hospital, Whitechapel",31333.3481461,27250.2421844,4784.54167437,22.9666666667
274,51.51440928,-0.118478757,"Kingsway, Covent Garden",27263.23158,26625.7258214,1531.2218973,7.33333333333
275,51.49914063,-0.112031483,"Lambeth North Station, Waterloo",27754.5601759,24938.7009659,720.11486972,3.76666666667
276,51.5272947,-0.174653609,"St. John's Wood Road, St. John's Wood",23328.3476006,27960.4058999,4692.38255117,19.9666666667
277,51.52367314,-0.128377673,"Bedford Way, Bloomsbury",26549.7831486,27638.6611074,2579.82200871,12.85
278,51.49236962,-0.147478734,"Elizabeth Bridge, Victoria",25312.3977854,24122.5660484,2002.14279958,7.95
279,51.50923022,-0.151296092,"South Audley Street, Mayfair",24999.9248491,25991.5186133,2236.47814636,13.1333333333
280,51.51678023,-0.175488803,"Winsland Street, Paddington",23299.5613594,26789.2720767,4114.12787676,20.4166666667
281,51.48483991,-0.138089062,"Claverton Street, Pimlico",25985.7605906,23301.4728048,2099.79490661,8.5
282,51.49888404,-0.165471605,"Montpelier Street, Knightsbridge",24044.7352059,24815.7915106,3024.300075,11.9333333333
283,51.49815779,-0.209494128,"Kensington Olympia Station, Olympia",20990.0332285,24659.3000051,6081.41048989,20.3
284,51.488226,-0.135635511,"St. George's Square, Pimlico",26146.5787568,23682.4937466,1690.88966771,9.83333333333
285,51.50029631,-0.092762704,"Swan Street, The Borough",29089.1043518,25101.9533452,2034.30350485,9.36666666667
286,51.49363156,-0.190603326,"Knaresborough Place, Earl's Court",22314.1759121,24188.0368287,4829.21874331,17.5166666667
287,51.49612799,-0.106000855,"Geraldine Street, Elephant & Castle",28181.9598626,24614.3815016,1230.79913826,6.98333333333
288,51.50227992,-0.074189225,"Curlew Street, Shad Thames",30372.8793332,25356.3889966,3327.29503021,17.7666666667
289,51.49398524,-0.136928582,"Vincent Square, Westminster",26040.4669574,24320.8909356,1284.37742248,5.0
290,51.50501351,-0.172729559,"Serpentine Car Park, Hyde Park",23523.7594668,25485.0583936,3551.04746629,15.5166666667
291,51.51475963,-0.148105415,"Marylebone Lane, Marylebone",25205.8488255,26612.2383908,2383.09238343,12.4666666667
292,51.50295379,-0.158456089,"Albert Gate, Hyde Park",24520.4597665,25280.7642296,2540.18299961,11.7833333333
293,51.51211869,-0.16209757,"Cumberland Gate, Hyde Park",24242.0326715,26293.9591412,3052.28417948,14.0166666667
294,51.48677988,-0.115853961,"Kennington Lane Tesco, Vauxhall",27524.5501299,23556.7991296,1621.48675755,7.78333333333
295,51.51816295,-0.135025698,"Rathbone Street, Fitzrovia ",26104.0603178,27013.8988462,2129.20266719,10.5166666667
296,51.50990837,-0.187842717,"Black Lion Gate, Kensington Gardens",22461.0435001,26003.4995391,4680.09397642,20.15
297,51.49907558,-0.085666316,"Long Lane , Bermondsey",29585.3687401,24979.0189982,2533.87995621,11.1833333333
298,51.50963123,-0.119047563,"Embankment (Savoy), Strand",27237.4140172,26093.1785118,1001.21624705,7.26666666667
299,51.4908679,-0.116911864,"Black Prince Road, Vauxhall",27439.3768028,24009.676817,1164.41477297,6.11666666667
300,51.51918144,-0.140485596,"Foley Street, Fitzrovia",25722.2383641,27117.5559524,2410.60908981,14.9833333333
301,51.53088935,-0.176770502,"Grove End Road, St. John's Wood",23171.4879446,28356.6323284,5062.50111339,24.2833333333
302,51.51734403,-0.138072691,"Wells Street, Fitzrovia ",25894.9030977,26917.4121632,2148.63481293,14.1833333333
303,51.50088934,-0.083159352,"Tyers Gate, Bermondsey",29754.1505527,25185.3448104,2700.42469345,17.6
304,51.52536703,-0.153463612,"The Tennis Courts, Regent's Park",24804.155422,27782.8617772,3495.18318814,17.7333333333
305,51.49768448,-0.141943703,"Cardinal Place, Victoria",25681.7624642,24723.5587206,1426.05800749,6.48333333333
